siparis_id,musteri_id,musteri_adi,cinsiyet,yas,sehir,ilce,urun_id,urun_adi,kategori,marka,fiyat,adet,indirim_orani,kargo_ucreti,odeme_tipi,siparis_durumu,tarih,teslim_tarihi,toplam_harcama,musteri_puani,sadakat_seviyesi,kampanya_kodu,urun_puani,yorum_sayisi
100015,174,Muvaffak Arslan,Erkek,18,Mersin,Toroslar,5004,Sony WH-1000XM4 Kulaklık,Elektronik,Sony,7309.67,5,20,0.0,Havale/EFT,İade,23-12-2025 13:19:02,25-12-2025 01:19:02,29238.68,3.3,Bronze,MAYIS25,4.8,83
100016,233,İnançlı Aslan,Erkek,32,Ankara,Yenimahalle,5037,Decathlon Kamp Çadırı,Spor & Outdoor,Decathlon,1504.82,9999,5,0.0,Havale/EFT,Tamamlandı,25-02-2026 20:26:24,01-03-2026 15:26:24,2859.16,4.0,Bronze,YAZ2026,4.5,16
100017,238,Selime Durmuş,Kadın,52,Denizli,Merkezefendi,5041,Can Yayınları Roman Seti,Kitap & Hobi,Can Yayınları,281.66,1,25,-39.99,Dijital Cüzdan,Tamamlandı,27-01-2025 19:34:17,30-01-2025 07:34:17,251.24,4.0,Bronze,,3.6,30
100018,357,Ferinaz Korutürk,Kadın,28,Kocaeli,Gebze,5037,Decathlon Kamp Çadırı,Spor & Outdoor,Decathlon,-1793.82,1,5,0.0,Kredi Kartı,TAMAMLANDI,23-07-2025 10:11:06,25-07-2025 08:11:06,1704.13,4.3,Silver,KARGOBEDAVA,4.5,13
100019,121,Görklü Gülen,Erkek,25,Samsun,İlkadım,5043,Faber-Castell Boya Kalemi Seti,Kitap & Hobi,Faber-Castell,197.75,10000,10,0.0,Kredi Kartı,Tamamlandı,04-10-2024 16:33:20,06-10-2024 13:33:20,711.9,4.0,Silver,SEPET50,3.7,212
100020,11,Elhan Zorlu,Erkek,50,İstanbul,Maltepe,5015,Nike Air Max 270,Ayakkabı,Nike,4785.47,3,0,-36.93572741788621,Kapıda Ödeme,Tamamlandı,22-01-2026 07:51:45,29-01-2026 14:51:45,14356.41,4.0,Silver,INDIRIM10,2.9,5
100021,2,Aral Korutürk,Kadın,41,Ankara,Keçiören,5008,LC Waikiki Kadın Triko Kazak,Giyim,LC Waikiki,358.04,3,0,0.0,Kapıda Ödeme,Tamamlandı,02-06-2025 08:39:46,26-05-2025 08:39:46,1074.12,5.0,Bronze,HOSGELDIN15,3.6,11
100022,65,Berki Yüksel,Erkek,35,Gaziantep,Şehitkamil,5047,Mamas & Papas Bebek Bavulu,Anne & Bebek,Mamas & Papas,1850.85,1,5,0.0,Havale/EFT,Tamamlandı,13-01-2025 22:23:43,15-01-2025 21:23:43,1758.31,3.8,Silver,,3.7,16
100023,267,Bozerk Çetin,Erkek,33,Ankara,Çankaya,5003,"LG 55"" 4K Smart TV",Elektronik,LG,19493.64,3,5,0.0,Kredi Kartı,Tamamlandı,29-08-2025 02:40:32,30-08-2025 12:40:32,55556.87,3.4,Silver,,3.9,244
100024,65,Berki Yüksel,erkek,35,ankara,Etimesgut,5035,Fakir Robot Süpürge,Mutfak,Fakir,4710.66,1,-20,0.0,Kredi Kartı,Tamamlandı,15-08-2025 03:36:39,23-08-2025 01:36:39,4239.59,3.8,Silver,SEPET50,4.7,48
100025,283,Arıpınar Demir,Kadın,47,Gaziantep,Şehitkamil,5027,IKEA MALM Çalışma Masası,Ev & Yaşam,IKEA,2951.55,1,0,0.0,Kredi Kartı,Tamamlandı,06-09-2024 11:22:46,10-09-2024 21:22:46,2951.55,7,Gold,,4.3,37
100026,79,Şahdiye Ertaş,Kadın,54,Konya,Meram,5004,Sony WH-1000XM4 Kulaklık,Elektronik,Sony,7200.69,1,5,0.0,Havale/EFT,Tamamlandı,12-10-2024 20:15:24,14-10-2024 14:15:24,6840.66,4.4,Bronze,,4.8,90
100027,169,Koçak Akçay,Erkek,24,Konya,Meram,5022,Flormar Likit Fondöten,Kozmetik,Flormar,237.36,4,5,0.0,Dijital Cüzdan,Tamamlandı,22-03-2025 21:51:36,26-03-2025 08:51:36,901.97,3.9,Bronze,MAYIS25,4.3,90
100028,80,Risalet Eraslan,Erkek,20,adana,Seyhan,5054,Fossil Kol Saati,Aksesuar,Fossil,3373.15,3,5,0.0,Kapıda Ödeme,Tamamlandı,14-08-2025 20:25:26,22-08-2025 15:25:26,9613.48,4.5,Bronze,,4.7,20
100029,286,Ayduru Sakarya,Kadın,34,İstanbul,,,Apple iPhone 13 128GB,,Apple,36443.33,2,0,0.0,Kredi Kartı,Tamamlandı,25-10-2024 20:37:08,01-11-2024 08:37:08,72886.66,5.0,Gold,SEPET50,4.1,64
100030,16,İnsaf Aslan,Kadın,27,İstanbul,Pendik,5013,Pull&Bear Kapüşonlu Sweatshirt,Giyim,Pull&Bear,612.86,1,0,39.99,Havale/EFT,Tamamlandı,03-01-2026 21:42:28,04-01-2026 22:42:28,652.85,5.0,Silver,MAYIS25,4.7,10
100031,346,Ayyaruk Durmuş,Kadın,30,İstanbul,Beylikdüzü,5042,İş Bankası Kültür Yayınları Klasik Set,Kitap & Hobi,İş Bankası Kültür Yayınları,406.0,2,5,0.0,Kredi Kartı,Tamamlandı,20-05-2025 15:39:09,22-05-2025 00:39:09,771.4,4.8,Bronze,,4.1,7
100032,250,Akçabay Akçay,Erkek,24,Bursa,Nilüfer,5002,Xiaomi Redmi Note 12,Elektronik,Xiaomi,8771.81,5,0,-12.758257834456744,Kredi Kartı,İade,19-10-2024 09:18:11,22-10-2024 19:18:11,43859.05,3.3,bronze,KARGOBEDAVA,5.0,125
100033,90,Adila Gül,Kadın,31,İstanbul,Pendik,5045,Huggies Islak Mendil 12li,Anne & Bebek,Huggies,279.91,2,10,39.99,Kredi Kartı,İptal,14-07-2024 15:52:56,16-07-2024 05:52:56,543.83,5.0,Gold,,3.8,-3
100034,295,Vildane İhsanoğlu,Kadın,43,İzmir,Buca,5045,Huggies Islak Mendil 12li,Anne & Bebek,Huggies,333.22,1,5,39.99,Kredi Kartı,İade,15-09-2025 13:10:28,17-09-2025 02:10:28,356.55,3.6,Bronze,,3.8,155
100035,224,Deniz Korutürk,Kadın,38,Antalya,Kepez,5005,Lenovo IdeaPad 3 Dizüstü Bilgisayar,Elektronik,Lenovo,19572.48,1,0,0.0,Kredi Kartı,Tamamlandı,05-11-2025 23:03:18,07-11-2025 15:03:18,19572.48,3.5,Gold,,3.5,32
100036,180,İde Korutürk,Kadın,37,Gaziantep,Şehitkamil,5015,Nike Air Max 270,Ayakkabı,Nike,3633.65,1,-20,0.0,Kredi Kartı,Tamamlandı,17-08-2024 06:26:58,25-08-2024 02:26:58,3633.65,3.6,BRONZE,,2.9,5
100037,297,Yelesen Akça,Erkek,39,İzmir,Çiğli,5041,Can Yayınları Roman Seti,Kitap & Hobi,Can Yayınları,327.06,2,20,39.99,Kredi Kartı,Tamamlandı,27-08-2025 22:59:16,31-08-2025 06:59:16,563.29,4.3,Silver,,3.6,25
100038,260,Risalet Yıldırım,Kadın,35,İstanbul,Beylikdüzü,5028,English Home Nevresim Takımı,Ev & Yaşam,English Home,613.16,5000,0,19.99,Havale/EFT,Tamamlandı,17-09-2025 21:07:44,23-09-2025 20:07:44,633.15,4.6,Bronze,,-1,59
100848,293,Hürüyet Türk,Kadın,36,Adana,Çukurova,5038,Nike Pro Antrenman Tayt,Spor & Outdoor,Nike,742.69,1,0,19.99,Kapıda Ödeme,İptal,02-06-2026 03:04:13,07-06-2026 23:04:13,1989.6,4.2,Bronze,INDIRIM10,4.0,-9
100040,225,Çağlar Manço,Kadın,28,Bursa,Yıldırım,5010,Mavi Jeans Skinny Kot Pantolon,Giyim,Mavi,727.36,4,5,0.0,Kapıda Ödeme,Tamamlandı,24-07-2024 22:58:11,31-07-2024 08:58:11,2763.97,3.5,Silver,YAZ2026,4.5,-14
100041,348,Döner Ertaş,Kadın,40,Ankara,Yenimahalle,5046,Chicco Bebek Arabası,Anne & Bebek,Chicco,-6203.13,5,10,0.0,Kredi Kartı,Tamamlandı,11-04-2026 05:08:57,14-04-2026 14:08:57,50463.87,3.9,Gold,,4.2,321
100042,201,Kaver Gülen,Kadın,18,İstanbul,Beşiktaş,5019,Bambi Hakiki Deri Bot,Ayakkabı,Bambi,1591.25,2,0,0.0,Kredi Kartı,Tamamlandı,03-05-2026 19:09:55,05-05-2026 15:09:55,3182.5,3.7,Silver,,6.2,71
100043,186,Ferhan Yorulmaz,Kadın,34,İstanbul,Bakırköy,5011,DeFacto Basic Tişört,Giyim,DeFacto,215.12,1,150,-29.99,Kredi Kartı,Tamamlandı,19-08-2024 10:46:10,26-08-2024 13:46:10,212.84,4.4,Bronze,,3.6,23
100044,379,Oluş Akçay,Kadın,39,Trabzon,Ortahisar,5042,İş Bankası Kültür Yayınları Klasik Set,,İş Bankası Kültür Yayınları,384.19,3,0,0.0,Kredi Kartı,Tamamlandı,11-05-2026 22:44:45,19-05-2026 03:44:45,1152.57,4.2,Gold,,4.1,0
100045,211,Hindal Akgündüz,Erkek,56,Ankara,Keçiören,5028,English Home Nevresim Takımı,Ev & Yaşam,English Home,813.71,3,15,0.0,Kredi Kartı,Tamamlandı,24-09-2025 07:03:50,28-09-2025 04:03:50,2074.96,5.0,Gold,,4.0,59
100046,237,Kadınana Aksu,Kadın,18,Kayseri,Kocasinan,5032,Karaca Tost Makinesi,Mutfak,Karaca,910.98,5,15,0.0,Kapıda Ödeme,Tamamlandı,12-02-2025 01:53:59,18-02-2025 16:53:59,3871.66,4.9,Bronze,,4.2,-10
100047,53,Öge Öcalan,Erkek,32,Gaziantep,Şehitkamil,5018,Skechers Yürüyüş Ayakkabısı,Ayakkabı,Skechers,1867.1,1,5,0.0,Kredi Kartı,İptal,02-09-2024 08:05:02,06-09-2024 19:05:02,1773.74,4.3,Silver,,3.9,30
100048,,Aynilhayat Gül,Kadın,45,Ankara,Yenimahalle,5015,Nike Air Max 270,Ayakkabı,Nike,4002.02,1,0,0.0,kredi kartı,Tamamlandı,02-06-2026 23:39:51,06-06-2026 03:39:51,4002.02,4.7,Bronze,hosgeldin15!!,2.9,3
100049,357,Ferinaz Korutürk,Kadın,28,Eskişehir,Tepebaşı,5028,English Home Nevresim Takımı,Ev & Yaşam,English Home,815.37,4,0,0.0,Kredi Kartı,Tamamlandı,15-06-2026 22:10:07,21-06-2026 11:10:07,3261.48,4.3,Silver,HOSGELDIN15,4.0,55
100128,155,Zehranur Dumanlı,Kadın,40,İstanbul,Şişli,5026,Bioderma Sensibio Micellar Su,Kozmetik,Bioderma,376.67,2,0,0.0,Kapıda Ödeme,Tamamlandı,00-13-2025 25:61:61,07-12-2025 16:35:54,753.34,4.0,Silver,,4.6,170
100051,150,Canur Yorulmaz,Kadın,42,İzmir,Çiğli,5022,Flormar Likit Fondöten,Kozmetik,Flormar,174.06,1,10,19.99,Kredi Kartı,Tamamlandı,21-11-2025 19:48:33,27-11-2025 11:48:33,176.64,4.5,BRONZE,,4.3,93
100052,241,Dilfeza Erdoğan,Kadın,32,İstanbul,Ataşehir,5023,Maybelline Maskara,Kozmetik,Maybelline,205.37,9999,15,-39.99,Kredi Kartı,Tamamlandı,15-09-2024 21:11:11,22-09-2024 07:11:11,214.55,3.5,Bronze,HOSGELDIN15,4.4,8
100053,174,Muvaffak Arslan,Erkek,18,Eskişehir,Odunpazarı,5053,Guess Kadın Çanta,Aksesuar,Guess,3512.89,1,10,0.0,Havale/EFT,İptal,,06-08-2024 01:39:48,3161.6,3.3,Bronze,INDIRIM10,4.1,10
100054,162,Aliihsan Şensoy,Erkek,5,Kocaeli,Gebze,5052,Pierre Cardin Cüzdan,Aksesuar,Pierre Cardin,612.91,1,15,29.99,Kredi Kartı,İptal,19-07-2024 23:52:28,23-07-2024 07:52:28,550.96,9.5,Platinum,HOSGELDIN15,5.0,102
100055,205,Benice Yılmaz,Kadın,35,Gaziantep,Şahinbey,5021,L'Oréal Paris Revitalift Serum,Kozmetik,L'Oréal,544.74,1,5,39.99,Kapıda Ödeme,Tamamlandı,20-08-2024 15:40:40,25-08-2024 20:40:40,557.49,4.4,Bronze,,3.1,179
100056,53,Öge Öcalan,Erkek,-5,İstanbul,Bakırköy,5019,Bambi Hakiki Deri Bot,Ayakkabı,Bambi,1512.14,2,0,0.0,Kredi Kartı,Tamamlandı,15-06-2026 12:50:10,21-06-2026 01:50:10,3024.28,6,Silver,YAZ2026,4.4,64
100057,344,Cansin Sezgin,Erkek,31,Adana,Çukurova,5032,Karaca Tost Makinesi,Mutfak,Karaca,1020.44,2,25,0.0,Kredi Kartı,Tamamlandı,23-08-2025 01:16:01,25-08-2025 03:16:01,1530.66,3.9,Bronze,SEPET50,4.2,171
100058,186,Ferhan Yorulmaz,Kadın,34,Ankara,Etimesgut,5002,Xiaomi Redmi Note 12,Elektronik,Xiaomi,10117.83,2,25,0.0,Kredi Kartı,Tamamlandı,09-01-2026 05:00:47,14-01-2026 16:00:47,15176.74,0,Bronze,SEPET50,5.0,123
100059,128,Efser Zengin,Erkek,18,Kocaeli,İzmit,5047,Mamas & Papas Bebek Bavulu,,Mamas & Papas,,2,20,0.0,Kredi Kartı,Tamamlandı,22-05-2026 16:14:53,25-05-2026 11:14:53,3118.14,3.8,Bronze,KARGOBEDAVA,3.7,9
100972,63,Toktuğ Ertaş,Erkek,40,İstanbul,Beşiktaş,5028,English Home Nevresim Takımı,Ev & Yaşam,English Home,660.43,2,30,0.0,Kapıda Ödeme,İade,24-04-2025 12:38:57,30-04-2025 14:38:57,924.6,5.0,Bronze,,4.0,56
100061,154,Dalkılıç Akar,E,48,Samsun,İlkadım,5050,Barbie Rüya Evi,Oyuncak,Barbie,2969.94,1,30,0.0,Kapıda Ödeme,Tamamlandı,19-10-2025 00:57:25,22-10-2025 17:57:25,2078.96,3.7,Silver,,3.9,73
100062,283,,Kadın,47,İstanbul,Beşiktaş,5004,Sony WH-1000XM4 Kulaklık,Elektronik,Sony,7680.44,5,10,0.0,Kredi Kartı,Tamamlandı,10-01-2026 02:41:06,12-01-2026 12:41:06,34561.98,7,Gold,,4.8,89
100063,239,Yalgın Şafak,erkek,40,Konya,Meram,5008,LC WAIKIKI KADIN TRIKO KAZAK,Giyim,LC Waikiki,425.59,3,10,0.0,Kredi Kartı,İade,18-08-2025 18:18:31,19-08-2025 21:18:31,1149.09,4.3,Gold,,3.6,15
100064,85,Sadittin İnönü,Erkek,-5,İstanbul,Şişli,5022,Flormar Likit Fondöten,Kozmetik,Flormar,244.75,2,0,19.99,Kredi Kartı,Tamamlandı,17-12-2025 09:59:32,14-12-2025 09:59:32,509.49,3.6,,MAYIS25,4.3,88
100065,258,,Erkek,27,Adana,Seyhan,5010,Mavi Jeans Skinny Kot Pantolon,,Mavi,830.56,2,10,0.0,Kapıda Ödeme,Tamamlandı,30-06-2024 02:57:26,01-07-2024 22:57:26,1495.01,4.6,,,4.5,500000
100066,334,Benice Ertaş,Kadın,31,İstanbul,Kartal,5026,Bioderma Sensibio Micellar Su,Kozmetik,Bioderma,374.17,1,20,39.99,Havale/EFT,Tamamlandı,06-02-2025 14:47:07,10-02-2025 04:47:07,339.33,5.0,Silver,YAZ2026,4.6,170
100067,226,Esenbay Arslan,erkek,33,İzmir,Buca,5013,Pull&Bear Kapüşonlu Sweatshirt,Giyim,Pull&Bear,602.06,1,20,39.99,Havale/EFT,İptal,,17-07-2025 20:45:39,521.64,4.7,Gold,,8,15
100068,124,Baykan Yüksel,Erkek,28,İzmir,Karşıyaka,5028,English Home Nevresim Takımı,Ev & Yaşam,English Home,686.77,1,0,49.99,Kapıda Ödeme,Tamamlandı,11-11-2024 11:55:17,17-11-2024 10:55:17,736.76,3.7,Silver,INDIRIM10,4.0,59
100069,264,Tüzeer Bilge,Erkek,150,İzmir,Karşıyaka,5031,Tarz Mobilya Sehpa,Ev & Yaşam,Tarz,1520.86,4,5,0.0,Dijital Cüzdan,Tamamlandı,28-05-2025 01:46:17,29-05-2025 10:46:17,5779.27,4.1,Silver,,4.1,20
100070,345,Verde Ertaş,Kadın,41,İzmir,Çiğli,5000,Samsung Galaxy A54 128GB,Elektronik,Samsung,21235.86,1,20,0.0,Havale/EFT,Tamamlandı,10-06-2025 01:38:50,14-06-2025 02:38:50,16988.69,4.4,Silver,,3.6,37
100071,186,Ferhan Yorulmaz,Kadın,34,Bursa,Osmangazi,5024,Nivea Nemlendirici Krem,Kozmetik,Nivea,125.3,3,0,19.99,Kredi Kartı,Tamamlandı,18-06-2025 12:20:44,23-06-2025 23:20:44,395.89,4.4,Bronze,,4.4,30
100072,309,Sabır Ülker,Kadın,35,Bursa,Yıldırım,5002,Xiaomi Redmi Note 12,Elektronik,Xiaomi,8158.56,1,0,0.0,Kredi Kartı,Tamamlandı,11-02-2026 18:46:08,14-02-2026 04:46:08,8158.56,4.5,Silver,,5.0,124
100073,84,Us Akgündüz,Erkek,43,Ankara,Etimesgut,5047,Mamas & Papas Bebek Bavulu,Anne & Bebek,Mamas & Papas,2474.08,2,5,0.0,Kredi Kartı,Tamamlandı,29-12-2025 10:54:54,02-01-2026 10:54:54,,5.0,Bronze,SEPET50,3.7,7
100074,214,Fenni Aksu,Erkek,23,Antalya,Kepez,5055,Casio Dijital Kol Saati,Aksesuar,Casio,1312.83,1,5,0.0,Dijital Cüzdan,Tamamlandı,14-01-2026 21:01:51,17-01-2026 20:01:51,1247.19,4.5,Gold,KARGOBEDAVA,3.0,43
100972,269,Akver Akdeniz,Erkek,24,Adana,Çukurova,5009,Koton Erkek Slim Fit Kot Pantolon,Giyim,Koton,,1,10,19.99,Kredi Kartı,Tamamlandı,03-08-2025 05:30:48,08-08-2025 03:30:48,601.84,3.9,Silver,MAYIS25,5.0,11
100076,242,Faize Duran,Kadın,18,Trabzon,Ortahisar,5045,Huggies Islak Mendil 12li,Anne & Bebek,Huggies,267.95,1,0,49.99,Kredi Kartı,Tamamlandı,25-11-2024 16:44:09,01-12-2024 02:44:09,317.94,4.2,Gold,,3.8,162
100077,370,Eriş Manço,Kadın,52,Konya,Meram,5039,Adidas Spor Çanta,Spor & Outdoor,Adidas,893.67,5,0,0.0,Kredi Kartı,i̇ade,01-04-2025 10:31:20,07-04-2025 16:31:20,4468.35,4.7,Bronze,,4.0,14
100078,163,Salami Karadeniz,Erkek,22,İzmir,Çiğli,5059,Pınar Süt 1L 12li Koli,Süpermarket,Pınar,315.41,2,0,49.99,Kapıda Ödeme,Tamamlandı,20-05-2025 05:19:58,23-05-2025 06:19:58,680.81,3.4,Gold,SEPET50,4.7,121
100079,178,Gülev Arslan,Kadın,33,Denizli,Merkezefendi,5047,Mamas & Papas Bebek Bavulu,Anne & Bebek,Mamas & Papas,2183.26,1,5,0.0,dijital cüzdan,Tamamlandı,,25-10-2024 02:58:36,2074.1,3.5,Platinum,,3.7,9
100080,26,Nazende Tevetoğlu,Kadın,37,Adana,Seyhan,5040,Under Armour Koşu Tişörtü,Spor & Outdoor,Under Armour,508.21,1,0,49.99,,Tamamlandı,06-06-2024 20:02:15,09-06-2024 09:02:15,558.2,3.9,Silver,,4.7,99999
100081,245,Çalım Manço,Kadın,52,Adana,Çukurova,5020,Greyder Klasik Erkek Ayakkabı,Ayakkabı,Greyder,1071.25,1,15,0.0,Havale/EFT,Tamamlandı,11-06-2026 01:21:28,13-06-2026 14:21:28,910.56,4.6,Silver,,4.1,11
100082,19,Fermuta Sezer,Kadın,36,Kocaeli,Gebze,5050,Barbie Rüya Evi,Oyuncak,Barbie,3144.0,4,25,0.0,Dijital Cüzdan,İptal,10-06-2024 10:51:50,16-06-2024 05:51:50,9432.0,,Bronze,hosgeldin15!!,3.9,70
100083,233,İnançlı Aslan,,32,Kocaeli,Gebze,5056,Ülker Albeni 12li Paket,Süpermarket,Ülker,88.16,3,5,29.99,Kapıda Ödeme,Tamamlandı,19-06-2026 16:42:30,26-06-2026 00:42:30,281.25,4.0,Bronze,,4.2,48
100084,378,İSMET SEVEN,Erkek,23,Ankara,Yenimahalle,5036,Korkmaz Tencere Seti,Mutfak,Korkmaz,2941.84,1,10,0.0,Havale/EFT,Tamamlandı,12-08-2025 18:45:38,15-08-2025 20:45:38,2647.66,5.0,Platinum,,4.0,11
100085,95,Teber Hançer,Erkek,24,Kocaeli,Gebze,5020,Greyder Klasik Erkek Ayakkabı,Ayakkabı,Greyder,1461.5,1,5,0.0,Kredi Kartı,Tamamlandı,04-05-2025 10:59:36,10-05-2025 09:59:36,1388.42,3.2,Bronze,,4.1,13
100086,335,Kıvılcım Akgündüz,Erkek,18,Ankara,Keçiören,5003,"LG 55"" 4K Smart TV",Elektronik,LG,330142.57,1,,0.0,Havale/EFT,İade,22-05-2026 11:19:20,28-05-2026 14:19:20,18005.04,4.8,Gold,,3.9,247
100087,189,Behiza Tevetoğlu,Kadın,43,Antalya,muratpaşa,5008,LC Waikiki Kadın Triko Kazak,Giyim,LC Waikiki,6555.67,1,30,39.99,Kredi Kartı,Tamamlandı,26-09-2025 19:34:13,04-10-2025 16:34:13,281.94,4.2,Silver,,3.6,14
100088,349,Emiş Sezgin,Kadın,37,,Melikgazi,5033,Tefal Airfryer,Mutfak,Tefal,3080.77,2,0,,Havale/EFT,,13-12-2025 18:24:15,16-12-2025 12:24:15,,3.3,Bronze,,3.1,59
100592,168,Noman Bilir,Erkek,44,Samsun,atakum,5007,Casper Excalibur Oyuncu Bilgisayarı,Elektronik,Casper,32483.25,2,5,0.0,Kapıda Ödeme,Tamamlandı,27-07-2024 16:30:32,30-07-2024 08:30:32,61718.18,4.0,Bronze,,5.0,84
100090,30,Bayzettin İhsanoğlu,Erkek,37,Bursa,Yıldırım,5051,Fisher-Price Aktivite Masası,Oyuncak,Fisher-Price,1054.08,1,0,0.0,Kredi Kartı,Tamamlandı,14-08-2024 01:38:56,18-08-2024 12:38:56,1054.08,4.7,,,3.7,13
100091,31,Karlukhan Çorlu,Erkek,28,Kocaeli,İzmit,5059,Pınar Süt 1L 12li Koli,Süpermarket,Pınar,4762.19,1,0,29.99,Kapıda Ödeme,İade,24-03-2026 15:18:17,28-03-2026 03:18:17,313.03,4.0,Silver,,4.7,126
100092,193,Üge Yüksel,Kadın,25,İstanbul,Pendik,5008,LC Waikiki Kadın Triko Kazak,Giyim,LC Waikiki,5776.59,1,,49.99,Kredi Kartı,Tamamlandı,15-01-2025 00:07:35,22-01-2025 00:07:35,430.7,4.2,Silver,,3.6,18
100093,345,Verde Ertaş,Kadın,41,Gaziantep,Şahinbey,5034,Arzum Çay Makinesi,Mutfak,Arzum,1089.64,1,5,0.0,Kredi Kartı,,13-06-2026 04:06:30,,1035.16,4.4,Silver,,3.2,51
100094,124,Baykan Yüksel,Erkek,28,,Beşiktaş,5038,Nike Pro Antrenman Tayt,Spor & Outdoor,Nike,610.07,2,,0.0,Kredi Kartı,Tamamlandı,17-07-2025 15:58:55,,1098.13,3.7,Silver,YAZ2026,4.0,11
100095,258,Buhari Sezgin,Erkek,27,Kocaeli,İzmit,5052,Pierre Cardin Cüzdan,Aksesuar,Pierre Cardin,724.92,2,10,0.0,Kapıda Ödeme,İptal,29-01-2025 10:59:12,,1304.86,4.6,Silver,,5.0,102
100096,154,Dalkılıç Akar,Erkek,48,Ankara,Etimesgut,5060,Nestlé Nescafe Gold 200gr,Süpermarket,Nestlé,339.17,2,0,49.99,Havale/EFT,Tamamlandı,19-05-2025 23:25:20,26-05-2025 11:25:20,728.33,3.7,Silver,,3.6,18
